 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Bb dorian (2b), 0, 2, 2, 3, 3, 2, 4, 1, 0, 3, 3, 1, 1, 1, 3, 4, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 4, 1, 0, 65
D dorian (2#), 1, 3, 3, 3, 2, 5, 6, 2, 1, 5, 1, 4, 2, 5, 2, 2, 2, 5, 0, 3, 3, 3, 1, 1, 1, 3, 3, 3, 2, 5, 6, 2, 1, 91
Bb phrygian (2b), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
D phrygian (2#), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
Bb lydian (2b), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
D lydian (2#), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
Bb mixolydian (2b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
D mixolydian (2#), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
Bb aeolian (2b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
D aeolian (2#), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
Bb locrian (2b), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
D locrian (2#), 0, 3, 3, 5, 2, 2, 4, 3, 1, 2, 3, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 3, 3, 5, 2, 2, 4, 3, 1, 78
Eb major (3b), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
A major (3#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
C minor (3b), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
F# minor (3#), 1, 5, 4, 3, 3, 3, 7, 1, 0, 3, 4, 3, 2, 4, 3, 1, 1, 6, 1, 2, 3, 4, 2, 3, 3, 5, 4, 3, 3, 3, 7, 1, 0, 98
C minor mel (3b), 1, 4, 4, 5, 2, 3, 3, 3, 1, 3, 4, 3, 2, 2, 2, 2, 0, 3, 1, 2, 2, 4, 0, 3, 4, 4, 4, 5, 2, 3, 3, 3, 1, 88
F# minor mel (3#), 1, 3, 3, 2, 3, 4, 4, 2, 2, 5, 3, 5, 3, 4, 3, 5, 1, 4, 1, 4, 2, 2, 1, 2, 2, 3, 3, 2, 3, 4, 4, 2, 2, 94
Eb major blues (3b), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
A major blues (3#), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
C minor blues (3b), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
F# minor blues (3#), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
Eb dorian (3b), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
A dorian (3#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Eb phrygian (3b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
A phrygian (3#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Eb lydian (3b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
A lydian (3#), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
Eb mixolydian (3b), 0, 3, 3, 5, 2, 2, 4, 3, 1, 2, 3, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 3, 3, 5, 2, 2, 4, 3, 1, 78
A mixolydian (3#), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
Eb aeolian (3b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
A aeolian (3#), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
Eb locrian (3b), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
A locrian (3#), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
Ab major (4b), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
E major (4#), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
F minor (4b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
C# minor (4#), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
F minor mel (4b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
C# minor mel (4#), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
Ab major blues (4b), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
E major blues (4#), 0, 3, 3, 5, 2, 2, 4, 3, 1, 2, 3, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 3, 3, 5, 2, 2, 4, 3, 1, 78
F minor blues (4b), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
C# minor blues (4#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
Ab dorian (4b), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
E dorian (4#), 1, 5, 4, 3, 3, 3, 7, 1, 0, 3, 4, 3, 2, 4, 3, 1, 1, 6, 1, 2, 3, 4, 2, 3, 3, 5, 4, 3, 3, 3, 7, 1, 0, 98
