 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, rowcost
Eb major (3b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 5, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1,  ,  ,  ,  ,  ,  , 1, 2, 2, 3, 0, 1, 1, 1, 1, 30
A major (3#),  ,  ,  ,  , 3, 1, 3, 1, 3, 1, 3, 2, 3, 2, 2, 2, 0, 0, 1, 0, 2, 2, 4, 1, 2, 2, 4, 4, 0,  ,  ,  ,  ,  ,  , 2, 1, 1, 0, 0, 1, 1, 2, 0, 56
C minor (3b),  ,  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 3, 3, 4, 1, 2, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1,  ,  ,  ,  ,  ,  , 2, 1, 1, 3, 0, 1, 1, 1, 1, 41
F# minor (3#),  ,  ,  ,  , 2, 1, 2, 1, 2, 1, 2, 2, 4, 1, 1, 0, 0, 0, 1, 0, 2, 2, 3, 1, 2, 2, 3, 3, 0,  ,  ,  ,  ,  ,  , 2, 1, 1, 1, 0, 2, 2, 1, 0, 48
Ab major (4b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 4, 2, 3, 1, 3, 4, 2, 4, 3, 1, 1, 0, 0, 1, 1, 0, 0, 1,  ,  ,  ,  ,  ,  , 4, 1, 1, 2, 0, 2, 2, 3, 2, 48
E major (4#),  ,  ,  ,  , 3, 1, 3, 1, 3, 1, 3, 3, 4, 2, 2, 2, 0, 0, 1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 0,  ,  ,  ,  ,  ,  , 3, 0, 0, 0, 0, 2, 2, 3, 0, 62
F minor (4b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 2, 5, 1, 3, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1,  ,  ,  ,  ,  ,  , 2, 2, 2, 1, 0, 1, 1, 2, 1, 38
C# minor (4#),  ,  ,  ,  , 4, 2, 4, 2, 4, 2, 4, 4, 4, 2, 2, 1, 1, 0, 4, 1, 2, 2, 3, 2, 2, 2, 3, 4, 0,  ,  ,  ,  ,  ,  , 4, 1, 1, 0, 0, 1, 1, 4, 0, 73
Db major (5b),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 6, 3, 3, 0, 2, 3, 2, 5, 4, 2, 2, 1, 1, 2, 2, 1, 1, 0,  ,  ,  ,  ,  ,  , 6, 1, 1, 1, 0, 3, 3, 5, 2, 69
B major (5#),  ,  ,  ,  , 2, 1, 2, 1, 2, 1, 2, 4, 3, 3, 1, 2, 1, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 0,  ,  ,  ,  ,  ,  , 4, 0, 0, 0, 0, 2, 2, 4, 1, 60
Bb minor (5b),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 2, 3, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0,  ,  ,  ,  ,  ,  , 2, 1, 1, 2, 1, 2, 2, 2, 0, 41
G# minor (5#),  ,  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 4, 2, 3, 2, 3, 2, 1, 2, 3, 3, 3, 2, 0, 3, 3, 2, 1, 1,  ,  ,  ,  ,  ,  , 4, 0, 0, 1, 0, 3, 3, 4, 1, 60
Gb major (6b),  ,  ,  ,  , 2, 2, 2, 2, 2, 2, 2, 7, 5, 3, 0, 2, 2, 2, 4, 4, 3, 3, 3, 2, 3, 3, 3, 2, 0,  ,  ,  ,  ,  ,  , 7, 0, 0, 1, 0, 4, 4, 6, 2, 89
F# major (6#),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 4, 3, 2, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 0,  ,  ,  ,  ,  ,  , 4, 0, 0, 1, 0, 3, 3, 3, 1, 52
Eb minor (6b),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 0, 2, 3, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0,  ,  ,  ,  ,  ,  , 2, 1, 1, 2, 0, 2, 2, 2, 1, 46
D# minor (6#),  ,  ,  ,  , 2, 2, 2, 2, 2, 2, 2, 4, 5, 2, 0, 3, 5, 2, 5, 2, 1, 1, 3, 2, 1, 1, 3, 2, 0,  ,  ,  ,  ,  ,  , 4, 1, 1, 2, 0, 2, 2, 4, 2, 74
Cb major (7b),  ,  ,  ,  , 3, 2, 3, 2, 3, 2, 3, 7, 6, 4, 1, 3, 2, 2, 4, 4, 4, 4, 5, 2, 4, 4, 5, 3, 0,  ,  ,  ,  ,  ,  , 7, 0, 0, 0, 0, 4, 4, 7, 2, 106
C# major (7#),  ,  ,  ,  , 2, 2, 2, 2, 2, 2, 2, 5, 3, 2, 0, 1, 2, 1, 5, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0,  ,  ,  ,  ,  ,  , 5, 1, 1, 1, 0, 2, 2, 4, 1, 64
Ab minor (7b),  ,  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 2, 2, 0, 2, 2, 2, 1, 1,  ,  ,  ,  ,  ,  , 4, 0, 0, 1, 0, 2, 2, 4, 2, 61
A# minor (7#),  ,  ,  ,  , 2, 2, 2, 2, 2, 2, 2, 4, 2, 0, 1, 3, 4, 0, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0,  ,  ,  ,  ,  ,  , 4, 1, 1, 3, 1, 4, 4, 4, 0, 72
