 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
D lydian (2#), 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 2, 3, 3, 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 3, 3,  , 1, 2, 2, 4, 4, 4, 4, 3, 2, 106
Bb mixolydian (2b), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
D mixolydian (2#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
Bb aeolian (2b), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
D aeolian (2#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
Bb locrian (2b), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
D locrian (2#), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
Eb major (3b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
A major (3#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
C minor (3b), 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 1, 2, 3, 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 2, 3,  , 1, 2, 1, 2, 3, 2, 3, 2, 2, 73
F# minor (3#), 2, 2, 6, 1, 2, 1, 5, 0, 2, 3, 0, 3, 2, 1, 0, 3, 2, 2, 6, 1, 2, 1, 5, 0, 2, 3, 0, 3, 2, 1, 4,  , 2, 1, 3, 4, 2, 1, 5, 1, 0, 86
C minor mel (3b), 1, 1, 2, 1, 1, 0, 3, 1, 4, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 0, 3, 1, 4, 1, 2, 2, 2, 3, 2,  , 1, 2, 1, 1, 2, 4, 2, 2, 1, 68
F# minor mel (3#), 3, 3, 5, 0, 1, 1, 4, 0, 2, 4, 1, 3, 2, 2, 1, 3, 4, 3, 5, 0, 1, 1, 4, 0, 2, 4, 1, 3, 2, 4, 4,  , 3, 2, 3, 5, 3, 3, 4, 1, 0, 97
Eb major blues (3b), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
A major blues (3#), 1, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 1, 2, 2, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 2,  , 1, 2, 1, 4, 4, 4, 2, 3, 2, 97
