 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
D aeolian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
Bb locrian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
D locrian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
Eb major (3b), 4/3, 0/0, 1/0, 1/1, 1/1, 2/3, 2/0, 0/0, 0/0, 1/1, 5/4, 2/2, 5/5, 1/4, 2/3, 0/0, 2/1, 1/1, 4/3, 0/0, 1/0, 1/1, 1/1, 2/3, 0/0, 1/0, 40/37
A major (3#), 6/4, 2/1, 4/6, 3/5, 2/5, 4/3, 2/1, 4/6, 5/6, 3/4, 3/2, 0/0, 1/1, 0/0, 1/1, 4/6, 4/4, 3/3, 6/4, 2/1, 4/6, 3/5, 2/4, 4/3, 5/6, 2/3, 79/90
C minor (3b), 4/3, 0/0, 1/0, 1/0, 1/5, 3/3, 2/3, 0/1, 0/0, 1/1, 2/4, 2/2, 5/4, 1/4, 2/3, 0/0, 1/0, 1/1, 4/3, 0/0, 1/0, 1/0, 1/4, 3/3, 0/0, 1/1, 38/45
F# minor (3#), 5/4, 2/4, 4/4, 5/3, 2/6, 4/4, 1/0, 4/6, 5/6, 3/4, 3/2, 0/0, 2/1, 0/0, 1/1, 4/6, 6/4, 4/2, 5/4, 2/4, 4/4, 5/3, 2/5, 4/2, 5/6, 4/2, 86/87
C minor mel (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
F# minor mel (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
Eb major blues (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
A major blues (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C minor blues (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
F# minor blues (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
