id,title,composer,KSgt,KSest,notes,err,time_1,time_2,time_3
0,Day of wine and roses,,,F major (-1),249,8,0.031,0.002,0.006
0,Dearly beloved,,,C major (0),166,3,0.021,0.002,0.004
0,Deep purple,,,F major (-1),257,26,0.031,0.003,0.006
0,Deluge,,(-6),B major (5),189,93,0.023,0.002,0.004
0,Desafinado,,,d minor (-1),435,33,0.048,0.008,0.011
0,Dindi,,,E- major (-3),282,29,0.033,0.002,0.006
0,Django,,,f minor (-4),131,1,0.015,0.001,0.003
0,Do you know what it means,,,C major (0),360,12,0.042,0.002,0.008
0,Don't blame me,,,C major (0),254,12,0.032,0.002,0.006
0,Don't get around much anymore,,,C major (0),330,19,0.039,0.004,0.008
0,Early autumn,,(-2),E- major (-3),312,36,0.033,0.004,0.007
0,Early autumn-C,,,C major (0),290,22,0.033,0.002,0.006
0,East of the sun,,,G major (1),292,9,0.035,0.003,0.006
0,Easy living,,,F major (-1),282,7,0.034,0.002,0.006
0,Easy to love,,,C major (0),158,5,0.020,0.002,0.004
0,Eclypso,,,E- major (-3),263,15,0.030,0.002,0.006
0,Eighty one,,(0),F major (-1),145,0,0.016,0.003,0.004
0,Eighty one-F,,,F major (-1),218,0,0.027,0.004,0.006
0,El gaucho,,(0),F major (-1),186,2,0.022,0.003,0.005
0,Emily,,,C major (0),274,14,0.034,0.003,0.006
0,Emily-G,,,G major (1),312,12,0.040,0.003,0.007
0,Epistrophy,,(1),B major (5),391,31,0.045,0.003,0.008
0,Equinox,,(0),E- major (-3),159,4,0.019,0.001,0.003
0,Equinox-C#,,,E major (4),141,6,0.016,0.002,0.003
0,Everythong happens to me,,,B- major (-2),403,29,0.046,0.002,0.008
0,Eye of the hurricane,,(0),g minor (-2),206,23,0.026,0.002,0.005
0,Falling grace,,(0),F major (-1),213,11,0.025,0.002,0.005
0,Favela,,,B- major (-2),410,24,0.049,0.003,0.009
0,Fee-fi-fo-fum,,(0),B- major (-2),225,28,0.027,0.002,0.005
0,Feel like making love,,,E- major (-3),192,13,0.022,0.001,0.004
0,Feels so good,,,F major (-1),404,12,0.046,0.004,0.009
0,Five brothers,,,C major (0),278,11,0.032,0.002,0.006
0,Five hundred miles high,,,C major (0),123,11,0.015,0.002,0.003
0,Five spot after dark,,(-4),C# major (7),85,74,0.009,0.001,0.002
0,Fools rush in,,,C major (0),235,5,0.028,0.003,0.005
0,Footprints,,(0),B- major (-2),184,9,0.022,0.001,0.004
0,Forest flower,,(0),D major (2),192,25,0.023,0.012,0.007
0,Four,,,E- major (-3),346,34,0.038,0.003,0.008
0,Four brothers,,(-4),c minor (-3),310,13,0.034,0.002,0.006
0,Four on six,,(0),B- major (-2),304,20,0.036,0.003,0.007
0,Freddie the freeloader,,,E- major (-3),136,0,0.017,0.001,0.003
0,Freedom jazz dance,,(0),E- major (-3),100,7,0.010,0.002,0.002
0,Freight trane,,,A- major (-4),152,18,0.017,0.002,0.004
0,Misty,,,E- major (-3),288,4,0.032,0.002,0.006
0,The fields we know,,(0),F# major (6),151,50,0.018,0.001,0.003
