 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
A major blues (3#), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
C minor blues (3b), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
F# minor blues (3#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
Eb dorian (3b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
A dorian (3#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Eb phrygian (3b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
A phrygian (3#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Eb lydian (3b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
A lydian (3#), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
Eb mixolydian (3b), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
A mixolydian (3#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Eb aeolian (3b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
A aeolian (3#), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
Eb locrian (3b), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
A locrian (3#), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
Ab major (4b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
E major (4#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
F minor (4b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
C# minor (4#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
F minor mel (4b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
C# minor mel (4#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Ab major blues (4b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
E major blues (4#), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
F minor blues (4b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
C# minor blues (4#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Ab dorian (4b), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
E dorian (4#), 2, 2, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 29
Ab phrygian (4b), 1, 2, 2, 1, 4, 0, 0, 2, 2, 1, 0, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 30
E phrygian (4#), 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 13
Ab lydian (4b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
E lydian (4#), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
Ab mixolydian (4b), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
E mixolydian (4#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
Ab aeolian (4b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
E aeolian (4#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Ab locrian (4b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
E locrian (4#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Db major (5b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
B major (5#), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
Bb minor (5b), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
G# minor (5#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Bb minor mel (5b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
G# minor mel (5#), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
Db major blues (5b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
B major blues (5#), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
Bb minor blues (5b), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
G# minor blues (5#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
Db dorian (5b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
B dorian (5#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Db phrygian (5b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
B phrygian (5#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Db lydian (5b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
B lydian (5#), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
Db mixolydian (5b), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
B mixolydian (5#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Db aeolian (5b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
B aeolian (5#), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
Db locrian (5b), 2, 2, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 29
B locrian (5#), 3, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 32
Gb major (6b), 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 13
F# major (6#), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
Eb minor (6b), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
D# minor (6#), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
Eb minor mel (6b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
D# minor mel (6#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
Gb major blues (6b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
F# major blues (6#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Eb minor blues (6b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
D# minor blues (6#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
