 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C minor blues (3b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
F# minor blues (3#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 4, 2, 0, 2, 2, 3, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 5, 0, 4, 3, 0, 4, 5, 1, 3, 0, 3, 0, 66
Eb dorian (3b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
A dorian (3#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
Eb phrygian (3b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
A phrygian (3#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
Eb lydian (3b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
A lydian (3#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
Eb mixolydian (3b), 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0,  , 0, 0, 1,  , 1, 1, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 2, 2, 4, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 3, 3, 0, 1, 0, 1, 0, 38
A mixolydian (3#), 0, 1, 1, 1, 1, 2, 1, 1, 2, 4, 2, 0,  , 2, 1, 2,  , 2, 2, 2, 1, 1, 5, 2, 1, 3, 3, 2, 0, 2, 4, 3, 2, 2, 1, 1, 0, 1, 3, 0, 3, 4, 1, 5, 6, 2, 3, 1, 4, 0, 93
