 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, rowcost
Eb major (3b), 1/1, 0/0, 2/2, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 2/1, 3/4, 3/4, 4/3, 5/3, 25/19
A major (3#), 2/4, 2/0, 2/0, 2/0, 4/1, 2/3, 4/1, 2/1, 3/2, 5/5, 1/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 33/18
C minor (3b), 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 2/0, 3/3, 3/3, 4/0, 4/0, 23/7
F# minor (3#), 2/1, 2/3, 2/3, 2/2, 4/5, 2/7, 4/5, 2/3, 3/0, 5/4, 1/2, 1/3, 1/1, 1/2, 0/0, 0/0, 0/0, 1/2, 33/43
Ab major (4b), 1/1, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 3/2, 3/6, 3/2, 4/5, 5/6, 5/8, 5/5, 6/5, 41/44
E major (4#), 2/0, 3/2, 2/0, 2/0, 4/4, 2/4, 4/4, 2/1, 2/1, 4/6, 2/2, 2/3, 2/0, 2/1, 1/1, 1/1, 0/0, 1/0, 38/30
F minor (4b), 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 2/0, 2/0, 2/0, 3/1, 4/1, 4/1, 4/1, 5/1, 31/7
C# minor (4#), 3/1, 4/4, 2/1, 2/0, 4/1, 2/0, 4/1, 2/0, 2/0, 5/4, 2/3, 2/1, 2/3, 2/1, 1/1, 1/0, 0/0, 2/4, 42/25
Db major (5b), 2/1, 3/2, 2/2, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 5/4, 4/8, 4/8, 4/8, 4/6, 5/7, 5/6, 4/4, 5/6, 49/62
B major (5#), 2/1, 3/3, 2/1, 2/1, 3/5, 1/7, 3/5, 1/0, 1/0, 5/4, 3/2, 3/3, 3/1, 3/2, 2/1, 2/2, 1/0, 2/0, 42/38
Bb minor (5b), 2/0, 2/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 3/3, 2/0, 2/0, 2/0, 2/1, 3/1, 3/4, 3/2, 4/4, 31/15
G# minor (5#), 3/1, 5/9, 2/1, 2/0, 3/1, 1/3, 3/1, 1/0, 1/0, 7/6, 4/8, 4/2, 4/6, 4/2, 3/2, 3/2, 1/1, 3/4, 54/49
Gb major (6b), 4/9, 4/6, 3/2, 1/0, 3/6, 0/0, 3/6, 0/0, 0/0, 7/6, 5/8, 5/8, 5/8, 5/6, 5/7, 4/6, 3/3, 5/7, 62/88
F# major (6#), 3/1, 2/2, 3/1, 1/0, 2/4, 0/0, 2/3, 0/0, 0/0, 4/4, 3/2, 3/3, 3/1, 3/2, 3/3, 2/0, 2/0, 3/2, 39/28
Eb minor (6b), 3/1, 2/0, 3/2, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 4/1, 3/0, 3/0, 3/0, 3/1, 3/4, 2/2, 2/2, 3/4, 37/17
D# minor (6#), 4/1, 4/6, 3/1, 1/0, 2/1, 0/0, 2/1, 0/0, 0/0, 7/7, 5/10, 5/11, 5/9, 5/8, 5/7, 4/6, 3/2, 5/6, 60/76
Cb major (7b), 4/10, 5/6, 3/6, 3/2, 4/6, 1/0, 4/6, 1/0, 1/0, 9/8, 6/12, 6/14, 6/10, 6/10, 4/8, 4/10, 2/5, 4/9, 73/122
C# major (7#), 3/1, 3/4, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 0/0, 4/4, 2/3, 2/1, 2/3, 2/1, 3/1, 3/0, 3/1, 5/4, 38/26
Ab minor (7b), 2/1, 3/0, 2/2, 2/0, 2/0, 1/0, 2/0, 1/0, 1/0, 6/3, 4/2, 4/6, 4/2, 4/5, 3/5, 3/4, 2/3, 3/5, 49/38
A# minor (7#), 4/3, 4/6, 2/5, 0/0, 2/1, 0/0, 2/1, 0/0, 0/0, 6/7, 4/10, 4/8, 4/8, 4/6, 6/10, 5/6, 5/5, 7/8, 59/84
