 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Bb dorian (2b), 0, 4, 0, 4, 2, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 4, 0, 4, 2, 0, 0, 1, 0, 36
D dorian (2#), 1, 2, 2, 2, 2, 2, 3, 3, 3, 6, 1, 0, 3, 1, 1, 0, 2, 1, 5, 2, 2, 2, 2, 2, 3, 5, 1, 59
Bb phrygian (2b), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
D phrygian (2#), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
Bb lydian (2b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
D lydian (2#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
Bb mixolydian (2b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
D mixolydian (2#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
Bb aeolian (2b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
D aeolian (2#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
Bb locrian (2b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
D locrian (2#), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
Eb major (3b), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
A major (3#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
C minor (3b), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
F# minor (3#), 0, 0, 2, 0, 2, 2, 1, 1, 4, 4, 0, 1, 4, 0, 0, 0, 2, 1, 3, 0, 2, 0, 2, 2, 1, 5, 0, 39
C minor mel (3b), 0, 1, 0, 2, 0, 2, 0, 2, 2, 3, 0, 1, 2, 0, 0, 1, 3, 0, 3, 1, 0, 2, 0, 2, 0, 3, 0, 30
F# minor mel (3#), 1, 5, 2, 3, 2, 4, 2, 4, 3, 6, 1, 0, 2, 1, 1, 0, 0, 0, 5, 5, 2, 3, 2, 4, 2, 7, 1, 68
Eb major blues (3b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
A major blues (3#), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
C minor blues (3b), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
F# minor blues (3#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
