 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
F# minor blues (3#), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
Eb dorian (3b), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
A dorian (3#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Eb phrygian (3b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
A phrygian (3#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Eb lydian (3b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
A lydian (3#), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
Eb mixolydian (3b), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
A mixolydian (3#), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
Eb aeolian (3b), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
A aeolian (3#), 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1, 18
Eb locrian (3b), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
A locrian (3#), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
Ab major (4b), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
E major (4#), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
F minor (4b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
C# minor (4#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
F minor mel (4b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
C# minor mel (4#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
Ab major blues (4b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
E major blues (4#), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
F minor blues (4b), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
C# minor blues (4#), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
Ab dorian (4b), 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1, 18
E dorian (4#), 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 13
Ab phrygian (4b), 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 16
E phrygian (4#), 0, 2, 2, 0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 3, 1, 2, 1, 1, 27
Ab lydian (4b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
E lydian (4#), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
Ab mixolydian (4b), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
E mixolydian (4#), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
Ab aeolian (4b), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
E aeolian (4#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Ab locrian (4b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
E locrian (4#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Db major (5b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
B major (5#), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
Bb minor (5b), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
G# minor (5#), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
Bb minor mel (5b), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
G# minor mel (5#), 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1, 18
Db major blues (5b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
B major blues (5#), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
Bb minor blues (5b), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
G# minor blues (5#), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
Db dorian (5b), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
B dorian (5#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Db phrygian (5b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
B phrygian (5#), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
Db lydian (5b), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
B lydian (5#), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
Db mixolydian (5b), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
B mixolydian (5#), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
Db aeolian (5b), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
B aeolian (5#), 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1, 18
Db locrian (5b), 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 13
B locrian (5#), 0, 0, 3, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 2, 1, 1, 17
Gb major (6b), 0, 2, 2, 0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 3, 1, 2, 1, 1, 27
F# major (6#), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
Eb minor (6b), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
D# minor (6#), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
Eb minor mel (6b), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
D# minor mel (6#), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
