id,title,composer,KSgt,KSest,notes,err,time
276,276-Bach-AnnaMagdalena,,,E- major (-3),69,0,0.031
277,277-Debussy-quatuorSolmop10,,(-2),c minor (-3),77,0,0.020
278,278-SaintSaens-Cygne,,,G major (1),122,1,0.049
302,302-Chopin-nocturne3op9,,,b minor (2),60,6,0.015
303,303-Bach-partita2sinfonia,,,E- major (-3),59,0,0.039
304,304-Bach-polonaise,,,d minor (-1),136,0,0.053
306,306-Haendel-concertogrosso3-4mvt,,,e minor (1),102,2,0.035
307,307-Mozart-fantaisiekv475,,,g minor (-2),78,0,0.033
308,308-Beethoven-sonateop81,,E- major (-3),g minor (-2),109,0,0.062
309,309-Poulenc-improvisation6,,(-2),f minor (-4),129,4,0.037
311,311-Mozart-ariaCosifantutte,,,A major (3),91,0,0.025
312,312-Kuhlau-sonatineop20,,,F major (-1),105,1,0.080
313,313-Schumann-trio1,,,C major (0),72,2,0.061
314,314-Couperin-intime,,,e minor (1),60,0,0.014
315,315-Ibert-symphonieconcertante,,C major (0),c minor (-3),147,9,0.068
316,316-Bach-courantesuite3,,(2),f# minor (3),80,0,0.035
317,317-Mozart-sonateKV333,,,B- major (-2),191,1,0.131
319,319-Haydn-symphonie88,,,G major (1),101,1,0.042
320,320-Kuhlau-sonatine2op60,,,a minor (0),135,1,0.060
321,321-Debussy-Pelleas,,E major (4),b- minor (-5),62,10,0.016
323,323-Bartok-images,,A major (3),D major (2),55,0,0.030
325,325-Chopin-concertoop21,,,f minor (-4),238,3,0.079
326,326-Mozart-ariaflute,,,E- major (-3),127,2,0.040
327,327-Mendelssohn-romancesp8op30,,,b- minor (-5),75,0,0.015
328,328-Bartok-sonatine,,D major (2),G major (1),80,1,0.033
329,329-Debussy-sonateviolon,,,g minor (-2),78,0,0.017
331,331-Beethoven-sonateop26,,(-4),b- minor (-5),89,0,0.022
332,332-Milhaud-boeuf,,C major (0),E major (4),88,47,0.026
333,333-Mazas-romance1op36,,,E major (4),150,0,0.105
334,334-Haydn-concertosol,,,C major (0),166,0,0.095
335,335-Berlioz-BenvenutoCelliniop23,,(1),a minor (0),104,6,0.034
337,337-Beethoven-sonate2op10,,,F major (-1),93,0,0.026
338,338-Haendel-sonateV,,,A major (3),155,0,0.162
339,339-Mozart-air17flute,,,B- major (-2),105,1,0.168
340,340-Kuhlau-sonatine4op88,,,f# minor (3),119,1,0.036
341,341-Mozart-concertolaKV219,,,c# minor (4),179,0,0.169
343,343-Bach-allemandePartita6,,,G major (1),134,1,0.621
344,344-Mozart-quintettemibK614,,,B- major (-2),79,0,0.024
345,345-Debussy-PelleasII4,,E major (4),e- minor (-6),48,33,0.017
346,346-Chopin-fantaisie,,,A major (3),60,0,0.017
347,347-Haendel-concertogrosso7,,,B- major (-2),111,0,0.080
348,348-Mozart-flutemarche,,C major (0),d minor (-1),102,1,0.104
349,349-Haydn-quatuor5op76,,(6),e- minor (-6),98,98,0.030
351,351-Jones,,,a minor (0),145,0,0.075
352,352-Scarlatti-sonateutK502,,,C major (0),86,0,0.026
353,353-Mendelssohn-romancesspop67,,,f# minor (3),31,0,0.009
354,354-Mozart-sonatefaKV332,,(-2),b- minor (-5),147,1,0.206
355,355-Mozart-sonatereKV311,,,e minor (1),144,0,0.050
356,356-Chopin-nocturne1op27,,(4),f# minor (3),68,0,0.018
357,357-Bach-ariaGoldbergBWV988,,G major (1),D major (2),137,0,0.064
359,359-Mozart-romance,,(0),d minor (-1),157,0,0.096
360,360-Soulage,,(2),A major (3),115,0,0.029
361,361-Beethoven-sonate2op14,,,G major (1),144,1,0.093
363,363-Debussy-clairdelune,,,D- major (-5),149,0,0.043
366,366-Bach-andante,,,F major (-1),137,1,0.081
367,367-Bach-suite5,,,G major (1),99,0,0.039
369,369-Bach-solocembalo,,(-3),B- major (-2),299,2,0.132
370,370-Beethoven-quatuor3op59,,(0),d minor (-1),148,0,0.061
371,371-Haydn-concertoreop21,,,A major (3),120,1,0.130
374,374-Bizet-seguedille,,D major (2),e minor (1),170,4,0.043
375,375-Beethoven-sonate21op53,,(-1),B- major (-2),70,3,0.029
376,376-Clementi-sonate2op26,,,D major (2),65,1,0.021
378,378-Beethoven-quintetteop29,,,F major (-1),168,1,0.142
380,380-Bartok-Bulgare,,,C major (0),59,2,0.013
401,401-Mozart-sonateKV282,,(-3),B- major (-2),180,0,0.764
403,403-Bach-allemandePartita4,,(2),a minor (0),394,2,1.055
404,404-Rode-caprice6,,,b minor (2),188,1,0.317
405,405-Bach-prelude13,,(6),G- major (-6),102,6,0.069
407,407-Beethoven-sonate1op10,,,A- major (-4),121,7,0.034
408,408-Bach-sarabande-Partita4,,(2),A major (3),153,0,0.203
409,409-Beethoven-quatuor1op18,,(-1),D major (2),153,2,0.286
410,410-Mozart-sonateKV309,,,F major (-1),187,2,0.343
413,413-Beethoven-quintetteop16,,,E- major (-3),131,2,0.101
414,414-Bach-laudamus-te,,,A major (3),220,1,1.579
415,415-Mozart-donGiovaniI2,,,B- major (-2),132,0,0.036
416,416-Bach-aria-Goldberg,,,e minor (1),98,0,0.112
418,418-Bach-courante-partita4,,,D major (2),174,0,0.169
419,419-Beethoven-variation23,,,D major (2),158,1,0.269
420,420-Bach-prelude6,,,b minor (2),167,0,0.192
423,423-Bach-adagio-Goldberg25,,(-2),c minor (-3),98,5,0.841
424,424-Bach-prelude4,,,c# minor (4),125,0,0.046
425,425-Beethoven-sonateop7,,(0),F major (-1),133,0,0.131
426,426-Bach-suiteanglaise1,,,A major (3),94,0,0.060
427,427-Bach-rondo-partita2,,,c minor (-3),69,0,0.015
428,428-Beethoven-sonate3op10,,(-1),a minor (0),97,0,0.058
429,429-Mozart-sonateKV283,,,C major (0),161,0,0.264
431,431-Bach-sinfonia-partita2,,,E- major (-3),342,1,1.975
434,434-Bach-concertoitalien,,,d minor (-1),340,1,1.308
435,435-Wolf-nein,,(1),a minor (0),71,3,0.018
436,436-Bach-ouverture-partita4,,(2),G major (1),171,1,0.562
437,437-Bach-courante-partita2,,,E- major (-3),112,0,0.087
438,438-Mozart-sonateKV457,,,E- major (-3),214,4,1.588
440,440-Bach-prelude10,,,e minor (1),176,0,0.124
442,442-Mozart-dongiovaniII7,,,E- major (-3),114,0,0.029
443,443-Ibert-escales,,(6),G- major (-6),172,39,0.797
444,444-Bach-invention,,,E major (4),320,4,0.126
445,445-Beethoven-sonateop110,,(-6),g# minor (5),92,92,0.033
446,446-Mozart-sonateKV330,,,C major (0),268,0,0.176
448,448-Bach-concertoclavecin1,,,g minor (-2),203,2,0.324
449,449-Clementi-gradus,,F major (-1),C major (0),150,0,0.134
450,450-Bach-toccata-solm,,,B- major (-2),101,5,0.161
451,451-Bach-sarabande,,(-2),E- major (-3),221,2,0.231
453,453-Mozart-sonateKV310,,,d minor (-1),192,0,0.334
456,456-Haendel-sonate4,,,D major (2),156,0,0.182
457,457-Bach-prelude8,,,G- major (-6),109,0,0.076
458,458-Liszt-rhapsodiehongroise12,,,c# minor (4),83,1,0.048
459,459-Bach-courantepartita6,,,e minor (1),153,0,0.061
460,460-Spohr-duoconcertant1op3,,,E- major (-3),127,1,0.499
461,461-Bach-allemande-partita1,,,b minor (2),511,0,4.002
465,465-Clementi-sonateop12,,(-1),c minor (-3),231,5,0.568
467,467-Schubert-MatchenTod,,,B- major (-2),167,0,0.065
468,468-Scarlatti-sonateK502,,,C major (0),260,0,0.075
