 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
Bb major blues (2b), 2, 5, 9, 6, 7, 2, 1, 1, 2, 3, 3, 2, 1, 1,  , 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 2, 1, 2, 1, 2, 7, 2, 1, 2, 3, 5, 9, 6, 8, 5, 3, 121
D major blues (2#), 1, 8, 5, 5, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 4, 5, 5, 5, 4, 0, 66
G minor blues (2b), 2, 7, 9, 6, 7, 2, 1, 1, 2, 3, 3, 2, 1, 1,  , 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 2, 1, 2, 1, 2, 5, 2, 1, 2, 3, 5, 9, 6, 8, 5, 3, 121
B minor blues (2#), 1, 7, 4, 4, 3, 2, 0, 0, 0, 2, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 5, 4, 4, 4, 4, 0, 60
Bb dorian (2b), 0, 2, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
D dorian (2#), 1, 8, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 2, 2, 2, 1, 0, 35
Bb phrygian (2b), 1, 6, 3, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 3, 3, 3, 0, 44
D phrygian (2#), 1, 7, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2, 2, 2, 0, 34
Bb lydian (2b), 0, 7, 7, 6, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 7, 6, 8, 5, 2, 98
D lydian (2#), 0, 7, 6, 6, 5, 2, 1, 1, 2, 2, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 6, 6, 6, 5, 2, 92
