id,title,composer,KS GT,KS est.,notes,err,time
448,448-Bach-concertoclavecin1,,-2,-2,203,7,1.692
449,449-Clementi-gradus,,-1,1,150,1,0.560
450,450-Bach-toccata-solm,,-2,1,101,0,0.562
451,451-Bach-sarabande,,-2,-2,221,1,0.816
453,453-Mozart-sonateKV310,,-1,-1,192,0,0.814
456,456-Haendel-sonate4,,2,2,156,0,0.768
457,457-Bach-prelude8,,-6,-6,109,0,0.170
458,458-Liszt-rhapsodiehongroise12,,4,4,83,0,0.169
459,459-Bach-courantepartita6,,1,1,153,1,0.190
460,460-Spohr-duoconcertant1op3,,-3,-3,127,3,3.632
461,461-Bach-allemande-partita1,,2,2,511,8,22.149
465,465-Clementi-sonateop12,,-1,-1,231,8,2.555
467,467-Schubert-MatchenTod,,-2,-2,167,0,0.186
468,468-Scarlatti-sonateK502,,0,0,260,0,0.154
