 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
E aeolian (4#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Ab locrian (4b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
E locrian (4#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Db major (5b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
B major (5#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
Bb minor (5b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
G# minor (5#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Bb minor mel (5b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
G# minor mel (5#),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
Db major blues (5b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
B major blues (5#),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
Bb minor blues (5b),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
G# minor blues (5#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Db dorian (5b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
B dorian (5#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Db phrygian (5b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
B phrygian (5#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Db lydian (5b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
B lydian (5#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
Db mixolydian (5b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
B mixolydian (5#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Db aeolian (5b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
B aeolian (5#),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
Db locrian (5b),  ,  ,  ,  , 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 6
B locrian (5#),  ,  ,  ,  , 1, 3, 1, 2, 1, 3, 1, 1, 0, 1, 1, 3, 18
Gb major (6b),  ,  ,  ,  , 1, 3, 1, 1, 0, 2, 1, 1, 0, 1, 1, 3, 15
F# major (6#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
Eb minor (6b),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
