 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
A dorian (3#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Eb phrygian (3b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
A phrygian (3#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Eb lydian (3b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
A lydian (3#), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
Eb mixolydian (3b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
A mixolydian (3#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Eb aeolian (3b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
A aeolian (3#), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
Eb locrian (3b), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
A locrian (3#), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
Ab major (4b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
E major (4#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
F minor (4b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
C# minor (4#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
F minor mel (4b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
C# minor mel (4#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Ab major blues (4b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
E major blues (4#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
F minor blues (4b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
C# minor blues (4#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
Ab dorian (4b), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
E dorian (4#), 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 4, 2, 2, 1, 2, 2, 2, 1, 1, 1, 42
Ab phrygian (4b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 25
E phrygian (4#), 2, 2, 2, 3, 2, 2, 1, 1, 1, 0, 3, 1, 1, 0, 3, 3, 2, 2, 2, 3, 2, 2, 1, 1, 42
Ab lydian (4b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
E lydian (4#), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
Ab mixolydian (4b), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
E mixolydian (4#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Ab aeolian (4b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
E aeolian (4#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Ab locrian (4b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
