 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
Ab major (4b), 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/1, 1/0, 4/3, 1/1, 2/0, 0/0, 2/2, 0/0, 2/0, 0/0, 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/1, 1/0, 4/3, 1/1, 2/0, 0/0, 2/2, 3/2, 1/1,  , 1/0, 2/1, 1/0, 3/2, 2/1, 2/0, 1/1, 1/0, 1/0, 50/24
E major (4#), 3/1, 3/2, 7/3, 0/0, 2/2, 2/6, 6/5, 0/0, 3/2, 4/1, 0/0, 3/2, 3/2, 2/2, 0/0, 3/2, 4/2, 3/2, 7/3, 0/0, 2/2, 2/6, 6/5, 0/0, 3/2, 4/1, 0/0, 3/2, 3/2, 3/2, 4/2,  , 3/1, 2/1, 4/1, 6/3, 3/2, 2/2, 5/2, 1/1, 0/0, 111/74
F minor (4b), 1/0, 1/0, 2/2, 0/0, 0/1, 0/0, 1/2, 1/1, 3/2, 1/2, 3/2, 0/0, 1/1, 0/0, 3/2, 0/0, 1/1, 1/4, 2/3, 0/0, 0/0, 0/0, 1/1, 1/0, 3/2, 1/0, 3/2, 0/0, 1/1, 2/1, 1/1,  , 1/1, 1/1, 1/0, 2/1, 2/1, 3/2, 1/1, 1/0, 1/0, 47/38
C# minor (4#), 3/1, 3/4, 6/3, 0/0, 3/1, 3/2, 5/2, 0/0, 3/2, 5/3, 0/0, 4/1, 3/2, 3/0, 0/0, 4/1, 5/3, 3/2, 6/3, 0/0, 3/2, 3/8, 5/2, 0/0, 3/2, 5/3, 0/0, 4/1, 3/2, 4/1, 4/2,  , 3/2, 2/1, 4/2, 7/4, 3/1, 3/0, 5/2, 1/0, 0/0, 121/65
Db major (5b), 2/2, 2/8, 5/7, 0/0, 1/0, 1/0, 2/1, 0/0, 3/3, 4/2, 2/0, 1/0, 3/2, 1/0, 2/0, 1/0, 3/2, 2/8, 5/7, 0/0, 1/0, 1/0, 2/1, 0/0, 3/3, 4/2, 2/0, 1/0, 3/2, 4/2, 3/2,  , 2/2, 2/1, 2/4, 5/4, 2/2, 3/0, 3/2, 0/0, 0/0, 83/69
B major (5#), 2/1, 2/2, 6/5, 0/0, 2/2, 2/6, 4/5, 0/0, 4/3, 3/1, 0/0, 2/2, 4/4, 1/1, 0/0, 2/2, 3/1, 2/2, 6/5, 0/0, 2/2, 2/6, 4/5, 0/0, 4/3, 3/1, 0/0, 2/2, 4/4, 2/2, 3/2,  , 2/2, 1/1, 3/3, 5/4, 2/2, 1/1, 4/2, 0/0, 0/0, 89/84
Bb minor (5b), 1/0, 1/0, 2/1, 0/0, 1/1, 1/0, 2/2, 0/0, 2/2, 2/1, 3/1, 1/0, 2/1, 1/0, 3/1, 1/0, 2/1, 1/4, 2/3, 0/0, 1/1, 1/0, 2/2, 0/0, 2/2, 2/1, 3/1, 1/0, 2/1, 4/1, 1/1,  , 1/0, 2/1, 1/0, 3/0, 1/1, 4/2, 1/1, 0/0, 0/0, 60/33
G# minor (5#), 3/1, 3/2, 5/2, 0/0, 3/1, 3/2, 4/2, 0/0, 4/2, 4/5, 0/0, 3/1, 4/2, 2/0, 0/0, 3/1, 5/5, 3/10, 5/2, 0/0, 3/1, 3/2, 4/2, 0/0, 4/2, 4/5, 0/0, 3/1, 4/2, 3/1, 3/1,  , 3/1, 1/1, 4/1, 7/6, 3/1, 2/0, 4/1, 0/0, 0/0, 109/66
Gb major (6b), 3/3, 3/8, 6/7, 0/0, 2/2, 2/8, 5/7, 0/0, 5/4, 5/4, 1/0, 3/2, 5/6, 2/2, 1/1, 3/2, 5/4, 3/8, 6/7, 0/0, 2/2, 2/8, 5/7, 0/0, 5/4, 5/4, 1/0, 3/2, 5/6, 4/3, 4/3,  , 3/2, 1/1, 3/5, 7/6, 3/3, 3/2, 4/3, 0/0, 0/0, 120/136
F# major (6#), 2/2, 2/6, 4/5, 0/0, 1/1, 1/4, 3/3, 0/0, 3/1, 3/1, 1/0, 2/2, 3/4, 1/1, 1/0, 2/2, 3/1, 2/2, 4/5, 0/0, 1/1, 1/4, 3/3, 0/0, 3/1, 3/1, 1/0, 2/2, 3/4, 3/2, 3/2,  , 2/2, 1/1, 2/3, 4/4, 2/2, 2/1, 3/2, 0/0, 0/0, 77/75
Eb minor (6b), 2/0, 2/0, 3/1, 0/0, 1/1, 1/0, 2/1, 0/0, 2/2, 2/0, 1/0, 2/1, 2/1, 1/0, 1/0, 2/1, 3/0, 2/0, 3/1, 0/0, 1/1, 1/0, 2/1, 0/0, 2/2, 2/0, 1/0, 2/1, 2/1, 3/1, 2/1,  , 2/0, 1/1, 2/0, 4/1, 2/1, 2/0, 2/1, 0/0, 0/0, 65/21
D# minor (6#), 3/1, 3/2, 4/2, 0/0, 2/1, 2/2, 3/2, 0/0, 4/4, 4/2, 1/0, 3/1, 4/3, 2/0, 1/0, 3/1, 5/5, 3/10, 4/2, 0/0, 2/1, 2/2, 3/2, 0/0, 4/4, 4/2, 1/0, 3/1, 4/3, 4/1, 3/1,  , 3/1, 1/1, 3/1, 7/7, 3/1, 3/0, 3/1, 0/0, 0/0, 104/67
Cb major (7b), 4/4, 4/12, 9/9, 0/0, 3/2, 3/8, 6/7, 0/0, 6/4, 5/4, 0/0, 4/4, 6/6, 2/2, 0/0, 4/4, 6/6, 4/12, 9/9, 0/0, 3/2, 3/8, 6/7, 0/0, 6/4, 5/4, 0/0, 4/4, 6/6, 4/4, 5/4,  , 4/4, 2/2, 5/6, 9/8, 4/4, 2/2, 6/4, 0/0, 0/0, 149/166
C# major (7#), 1/1, 1/4, 3/3, 0/0, 2/2, 2/8, 3/6, 0/0, 3/2, 4/3, 2/0, 2/1, 3/2, 2/0, 2/0, 2/1, 3/3, 1/2, 3/5, 0/0, 2/2, 2/8, 3/6, 0/0, 3/2, 4/3, 2/0, 2/1, 3/2, 5/1, 2/2,  , 1/2, 2/1, 1/2, 4/4, 1/1, 4/3, 2/2, 0/0, 0/0, 82/85
Ab minor (7b), 2/1, 2/0, 4/1, 0/0, 2/0, 2/0, 3/1, 0/0, 4/3, 2/1, 0/0, 2/0, 4/2, 1/0, 0/0, 2/0, 3/0, 2/0, 4/1, 0/0, 2/0, 2/0, 3/1, 0/0, 4/3, 2/1, 0/0, 2/0, 4/2, 2/1, 2/1,  , 2/0, 1/1, 3/1, 6/2, 2/1, 1/0, 3/1, 0/0, 0/0, 80/25
A# minor (7#), 2/1, 2/2, 3/2, 0/0, 2/1, 2/2, 3/2, 0/0, 4/4, 4/2, 4/2, 2/1, 4/3, 2/0, 4/2, 2/1, 4/5, 2/10, 3/2, 0/0, 2/1, 2/2, 3/2, 0/0, 4/4, 4/2, 4/2, 2/1, 4/3, 6/3, 2/1,  , 2/1, 2/1, 2/1, 6/4, 2/1, 6/2, 2/1, 0/0, 0/0, 104/74
