 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
G aeolian (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 17
F locrian (1b), 1, 2, 3, 4, 1, 1, 2, 2, 3, 1, 1, 3, 2, 1, 3, 2, 3, 3, 1, 1, 3, 4, 1, 2, 1, 2, 2, 3, 3, 1, 3, 3, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 76
G locrian (1#), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 1, 2, 2, 0, 0, 2, 3, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
Bb major (2b), 0, 1, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
D major (2#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 2, 1, 2, 0, 16
G minor (2b), 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 3, 0, 0, 2, 2, 0, 1, 0, 1, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
B minor (2#), 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 2, 0, 31
G minor mel (2b), 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 2, 2, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
B minor mel (2#), 2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 1, 0, 2, 1, 0, 2, 2, 0, 0, 2, 1, 1, 0, 1, 3, 1, 1, 1, 1, 1, 2, 1, 42
Bb major blues (2b), 2, 3, 4, 5, 2, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3, 5, 2, 3, 2, 3, 3, 3, 3, 1, 3, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 103
D major blues (2#), 1, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 1, 50
G minor blues (2b), 2, 3, 3, 5, 2, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 2, 3, 4, 1, 1, 3, 4, 2, 3, 2, 3, 3, 3, 3, 1, 3, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 99
B minor blues (2#), 1, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 2, 2, 1, 0, 2, 4, 0, 0, 2, 2, 1, 3, 1, 53
Bb dorian (2b), 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
