 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
C locrian (0), 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 42
F major (1b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
G major (1#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
D minor (1b), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
E minor (1#), 2, 0, 2, 1, 2, 0, 3, 0, 2, 0, 0, 0, 0, 3, 3, 4, 2, 3, 2, 5, 6, 3, 3, 4, 2, 3, 2, 5, 5, 1, 2, 0, 2, 1, 2, 0, 3, 0, 0, 78
D minor mel (1b), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 1, 3, 3, 3, 0, 4, 4, 6, 4, 3, 3, 3, 0, 4, 4, 6, 4, 0, 2, 1, 2, 1, 2, 0, 4, 0, 0, 81
E minor mel (1#), 2, 0, 2, 2, 3, 0, 4, 0, 2, 0, 0, 0, 1, 4, 4, 4, 2, 4, 3, 4, 7, 4, 4, 4, 2, 4, 3, 4, 6, 1, 2, 0, 2, 2, 3, 0, 4, 0, 0, 93
F major blues (1b), 3, 1, 3, 0, 2, 1, 5, 0, 3, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 5, 2, 2, 2, 0, 3, 3, 7, 4, 0, 3, 1, 3, 0, 2, 1, 5, 0, 0, 80
G major blues (1#), 2, 1, 2, 1, 3, 1, 5, 0, 2, 0, 0, 0, 1, 4, 4, 3, 1, 5, 4, 8, 5, 4, 4, 3, 1, 5, 4, 8, 5, 0, 2, 1, 2, 1, 3, 1, 5, 0, 0, 101
D minor blues (1b), 3, 1, 2, 0, 2, 1, 5, 0, 3, 0, 0, 0, 0, 2, 2, 3, 0, 3, 3, 7, 5, 2, 2, 3, 0, 3, 3, 7, 4, 0, 3, 1, 2, 0, 2, 1, 5, 0, 0, 80
E minor blues (1#), 2, 1, 2, 1, 3, 1, 6, 0, 2, 0, 0, 0, 1, 4, 4, 4, 1, 5, 4, 7, 6, 4, 4, 4, 1, 5, 4, 7, 5, 0, 2, 1, 2, 1, 3, 1, 6, 0, 0, 104
F dorian (1b), 2, 1, 3, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 3, 0, 1, 0, 3, 0, 0, 66
G dorian (1#), 1, 0, 1, 1, 2, 0, 4, 0, 1, 0, 0, 0, 1, 4, 4, 3, 1, 5, 4, 7, 5, 4, 4, 3, 1, 5, 4, 7, 5, 0, 1, 0, 1, 1, 2, 0, 4, 0, 0, 86
F phrygian (1b), 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 2, 0, 1, 1, 3, 0, 0, 44
G phrygian (1#), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
F lydian (1b), 2, 1, 3, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 3, 0, 1, 0, 3, 0, 0, 66
G lydian (1#), 1, 0, 1, 1, 2, 0, 4, 0, 1, 0, 0, 0, 1, 4, 4, 3, 1, 5, 4, 7, 5, 4, 4, 3, 1, 5, 4, 7, 5, 0, 1, 0, 1, 1, 2, 0, 4, 0, 0, 86
F mixolydian (1b), 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 2, 0, 1, 1, 3, 0, 0, 44
G mixolydian (1#), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
F aeolian (1b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
G aeolian (1#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
F locrian (1b), 2, 1, 2, 0, 1, 1, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 5, 0, 0, 0, 0, 1, 1, 4, 2, 0, 2, 1, 2, 0, 1, 1, 4, 0, 0, 43
G locrian (1#), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
Bb major (2b), 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 2, 0, 1, 1, 3, 0, 0, 44
D major (2#), 1, 0, 1, 1, 2, 0, 4, 0, 1, 0, 0, 0, 1, 4, 4, 4, 1, 5, 4, 7, 5, 4, 4, 4, 1, 5, 4, 7, 5, 0, 1, 0, 1, 1, 2, 0, 4, 0, 0, 88
G minor (2b), 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 1, 6, 5, 2, 2, 2, 1, 2, 1, 6, 2, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 49
B minor (2#), 2, 0, 0, 1, 2, 0, 4, 0, 2, 0, 0, 0, 1, 3, 3, 3, 1, 4, 3, 4, 9, 3, 3, 3, 1, 4, 3, 4, 6, 0, 2, 0, 0, 1, 2, 0, 4, 0, 0, 78
G minor mel (2b), 0, 0, 0, 0, 2, 1, 4, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 3, 2, 7, 4, 2, 2, 2, 1, 3, 2, 7, 3, 0, 0, 0, 0, 0, 2, 1, 4, 0, 0, 59
B minor mel (2#), 3, 0, 1, 1, 3, 0, 5, 1, 3, 1, 1, 1, 2, 4, 4, 4, 1, 4, 3, 3, 10, 4, 4, 4, 1, 4, 3, 3, 7, 1, 3, 0, 1, 1, 3, 0, 5, 1, 1, 101
Bb major blues (2b), 3, 1, 3, 1, 3, 1, 5, 0, 3, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 6, 6, 1, 1, 1, 1, 2, 2, 6, 4, 1, 3, 1, 3, 1, 3, 1, 5, 0, 0, 76
D major blues (2#), 3, 1, 3, 1, 3, 0, 5, 1, 3, 1, 1, 1, 2, 5, 5, 5, 1, 5, 4, 8, 6, 5, 5, 5, 1, 5, 4, 8, 6, 1, 3, 1, 3, 1, 3, 0, 5, 1, 1, 122
G minor blues (2b), 3, 1, 2, 1, 3, 1, 5, 0, 3, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 6, 6, 1, 1, 1, 1, 2, 2, 6, 4, 1, 3, 1, 2, 1, 3, 1, 5, 0, 0, 74
B minor blues (2#), 3, 1, 3, 1, 3, 0, 6, 1, 3, 1, 1, 1, 2, 5, 5, 5, 1, 5, 4, 7, 9, 5, 5, 5, 1, 5, 4, 7, 6, 1, 3, 1, 3, 1, 3, 0, 6, 1, 1, 125
Bb dorian (2b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
D dorian (2#), 2, 0, 2, 1, 3, 0, 5, 1, 2, 1, 1, 1, 2, 5, 5, 5, 1, 5, 4, 6, 6, 5, 5, 5, 1, 5, 4, 6, 6, 1, 2, 0, 2, 1, 3, 0, 5, 1, 1, 111
Bb phrygian (2b), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
D phrygian (2#), 2, 0, 2, 0, 2, 0, 4, 1, 2, 1, 1, 1, 1, 4, 4, 5, 1, 4, 3, 6, 6, 4, 4, 5, 1, 4, 3, 6, 5, 1, 2, 0, 2, 0, 2, 0, 4, 1, 1, 95
Bb lydian (2b), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 5, 3, 3, 3, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 85
D lydian (2#), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 4, 1, 4, 3, 8, 6, 3, 3, 4, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 88
Bb mixolydian (2b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
D mixolydian (2#), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
Bb aeolian (2b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
D aeolian (2#), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
Bb locrian (2b), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
D locrian (2#), 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 42
Eb major (3b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
A major (3#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
C minor (3b), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
F# minor (3#), 2, 0, 2, 1, 2, 0, 3, 0, 2, 0, 0, 0, 0, 3, 3, 4, 2, 3, 2, 5, 6, 3, 3, 4, 2, 3, 2, 5, 5, 1, 2, 0, 2, 1, 2, 0, 3, 0, 0, 78
C minor mel (3b), 2, 1, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 6, 4, 2, 2, 2, 0, 2, 2, 6, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 54
F# minor mel (3#), 3, 0, 3, 2, 5, 0, 4, 1, 3, 1, 1, 1, 2, 4, 4, 4, 1, 2, 2, 2, 7, 4, 4, 4, 1, 2, 2, 2, 6, 2, 3, 0, 3, 2, 5, 0, 4, 1, 1, 98
Eb major blues (3b), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
A major blues (3#), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
C minor blues (3b), 2, 0, 2, 0, 2, 0, 4, 1, 2, 1, 1, 1, 1, 4, 4, 5, 1, 4, 3, 6, 6, 4, 4, 5, 1, 4, 3, 6, 5, 1, 2, 0, 2, 0, 2, 0, 4, 1, 1, 95
F# minor blues (3#), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 5, 3, 3, 3, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 85
Eb dorian (3b), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 4, 1, 4, 3, 8, 6, 3, 3, 4, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 88
A dorian (3#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
Eb phrygian (3b), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
A phrygian (3#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
Eb lydian (3b), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
A lydian (3#), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
Eb mixolydian (3b), 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 42
A mixolydian (3#), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
Eb aeolian (3b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
A aeolian (3#), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
Eb locrian (3b), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
A locrian (3#), 2, 0, 2, 0, 2, 0, 4, 1, 2, 1, 1, 1, 1, 4, 4, 5, 1, 4, 3, 6, 6, 4, 4, 5, 1, 4, 3, 6, 5, 1, 2, 0, 2, 0, 2, 0, 4, 1, 1, 95
Ab major (4b), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 5, 3, 3, 3, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 85
E major (4#), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 4, 1, 4, 3, 8, 6, 3, 3, 4, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 88
F minor (4b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
C# minor (4#), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
F minor mel (4b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
C# minor mel (4#), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
Ab major blues (4b), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
E major blues (4#), 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 42
F minor blues (4b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
C# minor blues (4#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
Ab dorian (4b), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
E dorian (4#), 2, 0, 2, 1, 2, 0, 3, 0, 2, 0, 0, 0, 0, 3, 3, 4, 2, 3, 2, 5, 6, 3, 3, 4, 2, 3, 2, 5, 5, 1, 2, 0, 2, 1, 2, 0, 3, 0, 0, 78
Ab phrygian (4b), 2, 1, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 6, 4, 2, 2, 2, 0, 2, 2, 6, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 54
E phrygian (4#), 3, 0, 3, 2, 5, 0, 4, 1, 3, 1, 1, 1, 2, 4, 4, 4, 1, 2, 2, 2, 7, 4, 4, 4, 1, 2, 2, 2, 6, 2, 3, 0, 3, 2, 5, 0, 4, 1, 1, 98
Ab lydian (4b), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
E lydian (4#), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
Ab mixolydian (4b), 2, 0, 2, 0, 2, 0, 4, 1, 2, 1, 1, 1, 1, 4, 4, 5, 1, 4, 3, 6, 6, 4, 4, 5, 1, 4, 3, 6, 5, 1, 2, 0, 2, 0, 2, 0, 4, 1, 1, 95
E mixolydian (4#), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 5, 3, 3, 3, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 85
Ab aeolian (4b), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 4, 1, 4, 3, 8, 6, 3, 3, 4, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 88
E aeolian (4#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
Ab locrian (4b), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
E locrian (4#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
Db major (5b), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
B major (5#), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
Bb minor (5b), 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 42
G# minor (5#), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
Bb minor mel (5b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
G# minor mel (5#), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
Db major blues (5b), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
