 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, rowcost
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/2, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/4, 1/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 12/9
A major (3#), 2/2, 2/0, 2/0, 2/0, 3/0, 3/1, 0/0, 2/1, 0/0, 0/0, 2/2, 2/0, 2/2, 5/3, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/2, 5/3, 2/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2/0, 1/0, 43/16
C minor (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 12/0
F# minor (3#), 2/1, 2/1, 2/1, 2/1, 3/3, 3/0, 0/0, 2/0, 0/0, 0/0, 2/1, 2/1, 2/2, 5/2, 2/2, 0/0, 0/0, 1/1, 0/0, 1/0, 2/2, 5/2, 2/2, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2/1, 1/0, 43/23
Ab major (4b), 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 4/5, 0/0, 2/10, 1/0, 1/0, 1/0, 1/0, 1/0, 2/4, 2/2, 2/2, 2/4, 1/1, 1/0, 1/0, 1/0, 2/4, 2/2, 1/4, 1/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 0/0, 34/39
E major (4#), 3/1, 3/0, 3/0, 3/0, 3/1, 2/1, 1/0, 1/0, 0/0, 1/0, 3/0, 3/0, 3/2, 6/3, 2/0, 0/0, 1/0, 1/0, 0/0, 2/0, 3/2, 6/3, 2/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/0, 1/0, 56/13
F minor (4b), 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 3/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/2, 1/2, 1/0, 1/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 0/0, 27/5
C# minor (4#), 4/5, 4/5, 4/5, 4/5, 4/5, 2/0, 1/1, 1/0, 0/0, 1/0, 4/5, 4/5, 3/2, 7/4, 3/4, 0/0, 1/0, 1/0, 0/0, 2/0, 3/2, 7/4, 3/4, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4/6, 1/0, 68/62
Db major (5b), 3/2, 3/2, 3/2, 3/2, 1/0, 0/0, 5/7, 0/0, 2/10, 2/2, 3/2, 3/2, 2/4, 6/6, 3/4, 2/2, 3/2, 2/4, 1/0, 2/4, 2/4, 6/6, 3/4, 2/2, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/2, 0/0, 67/75
B major (5#), 3/1, 3/1, 3/1, 3/1, 3/1, 1/0, 2/0, 0/0, 1/0, 1/0, 3/1, 3/1, 2/2, 5/2, 3/0, 1/0, 1/0, 2/0, 0/0, 2/0, 2/2, 5/2, 3/0, 1/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/1, 0/0, 56/16
Bb minor (5b), 2/0, 2/0, 2/0, 2/0, 1/0, 0/0, 3/0, 0/0, 1/0, 1/0, 2/0, 2/0, 1/0, 2/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/2, 2/0, 2/0, 1/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2/0, 0/0, 39/2
G# minor (5#), 5/7, 5/7, 5/7, 5/7, 4/5, 1/0, 3/3, 0/0, 1/0, 2/2, 5/7, 5/7, 3/6, 5/10, 4/4, 1/0, 2/2, 2/0, 0/0, 3/0, 3/2, 5/3, 4/4, 1/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5/7, 0/0, 79/90
Gb major (6b), 5/6, 5/6, 5/6, 5/6, 3/2, 0/0, 5/7, 0/0, 2/10, 2/2, 5/6, 5/6, 3/4, 8/8, 5/6, 2/2, 2/2, 3/4, 0/0, 2/4, 3/4, 8/8, 5/6, 2/2, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5/6, 0/0, 90/113
F# major (6#), 3/3, 3/1, 3/1, 3/1, 2/3, 0/0, 3/1, 0/0, 1/0, 1/0, 3/1, 3/1, 2/2, 5/2, 3/2, 1/0, 1/0, 2/0, 0/0, 1/0, 2/2, 5/2, 3/2, 1/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/1, 0/0, 54/25
Eb minor (6b), 3/0, 3/0, 3/0, 3/0, 2/0, 0/0, 3/1, 0/0, 1/0, 1/0, 3/0, 3/0, 2/0, 3/0, 3/0, 1/0, 1/0, 2/0, 0/0, 1/0, 2/0, 3/0, 3/0, 1/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/0, 0/0, 50/1
D# minor (6#), 5/5, 5/5, 5/5, 5/5, 3/3, 0/0, 5/7, 0/0, 2/10, 2/2, 5/7, 5/7, 3/6, 5/7, 5/6, 2/2, 2/2, 3/4, 0/0, 2/0, 3/2, 5/3, 5/6, 2/2, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5/7, 0/0, 84/103
Cb major (7b), 6/8, 6/8, 6/8, 6/8, 5/6, 1/0, 4/7, 0/0, 2/10, 2/2, 6/8, 6/8, 4/8, 9/10, 6/10, 2/2, 2/2, 4/6, 0/0, 3/4, 4/8, 9/10, 6/10, 2/2, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6/8, 0/0, 107/153
C# major (7#), 3/5, 3/5, 3/5, 3/5, 2/2, 0/0, 3/1, 0/0, 1/0, 1/0, 3/5, 3/5, 1/2, 5/4, 3/4, 1/0, 2/0, 1/0, 1/0, 1/0, 1/2, 5/5, 3/4, 1/1, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/5, 0/0, 55/60
Ab minor (7b), 3/0, 3/0, 3/0, 3/0, 3/0, 1/0, 3/5, 0/0, 2/10, 1/0, 3/0, 3/0, 2/0, 3/0, 4/4, 2/2, 1/0, 3/4, 0/0, 2/0, 2/0, 3/0, 4/4, 2/2, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3/0, 0/0, 59/31
A# minor (7#), 4/5, 4/5, 4/5, 4/5, 2/2, 0/0, 6/8, 0/0, 2/0, 2/0, 4/5, 4/5, 2/2, 4/3, 4/2, 2/0, 3/0, 2/0, 1/0, 2/0, 2/2, 4/3, 4/2, 2/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4/5, 0/0, 74/59
