 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
F mixolydian (1b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
G mixolydian (1#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
F aeolian (1b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
G aeolian (1#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
F locrian (1b), 2, 1,  ,  , 3, 2,  ,  , 2, 1, 11
G locrian (1#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Bb major (2b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
D major (2#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
G minor (2b), 3, 1,  ,  , 4, 2,  ,  , 3, 1, 14
B minor (2#), 4, 5,  ,  , 3, 4,  ,  , 4, 5, 25
G minor mel (2b), 2, 2,  ,  , 3, 3,  ,  , 2, 2, 14
B minor mel (2#), 4, 5,  ,  , 3, 4,  ,  , 4, 5, 25
Bb major blues (2b), 3, 3,  ,  , 3, 3,  ,  , 3, 3, 18
D major blues (2#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
G minor blues (2b), 3, 3,  ,  , 3, 3,  ,  , 3, 3, 18
B minor blues (2#), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
Bb dorian (2b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
D dorian (2#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
Bb phrygian (2b), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
D phrygian (2#), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
Bb lydian (2b), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
D lydian (2#), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
Bb mixolydian (2b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D mixolydian (2#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Bb aeolian (2b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D aeolian (2#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Bb locrian (2b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
D locrian (2#), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
Eb major (3b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
A major (3#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
C minor (3b), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
F# minor (3#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
C minor mel (3b), 2, 1,  ,  , 3, 2,  ,  , 2, 1, 11
F# minor mel (3#), 2, 2,  ,  , 1, 1,  ,  , 2, 2, 10
Eb major blues (3b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
A major blues (3#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
C minor blues (3b), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
F# minor blues (3#), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
Eb dorian (3b), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
A dorian (3#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Eb phrygian (3b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
A phrygian (3#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Eb lydian (3b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
A lydian (3#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
Eb mixolydian (3b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
A mixolydian (3#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Eb aeolian (3b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
A aeolian (3#), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
Eb locrian (3b), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
A locrian (3#), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
Ab major (4b), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
E major (4#), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
F minor (4b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
C# minor (4#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
F minor mel (4b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
C# minor mel (4#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Ab major blues (4b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
E major blues (4#), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
F minor blues (4b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
C# minor blues (4#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Ab dorian (4b), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
E dorian (4#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
Ab phrygian (4b), 2, 1,  ,  , 3, 2,  ,  , 2, 1, 11
E phrygian (4#), 2, 2,  ,  , 1, 1,  ,  , 2, 2, 10
Ab lydian (4b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
E lydian (4#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
Ab mixolydian (4b), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
E mixolydian (4#), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
Ab aeolian (4b), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
E aeolian (4#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Ab locrian (4b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
E locrian (4#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Db major (5b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
B major (5#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
Bb minor (5b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
G# minor (5#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Bb minor mel (5b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
G# minor mel (5#), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
Db major blues (5b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
B major blues (5#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
Bb minor blues (5b), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
G# minor blues (5#), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
Db dorian (5b), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
B dorian (5#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Db phrygian (5b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
B phrygian (5#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Db lydian (5b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
B lydian (5#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
Db mixolydian (5b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
B mixolydian (5#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Db aeolian (5b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
B aeolian (5#), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
Db locrian (5b), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
B locrian (5#), 4, 4,  ,  , 3, 3,  ,  , 4, 4, 22
Gb major (6b), 2, 2,  ,  , 1, 1,  ,  , 2, 2, 10
F# major (6#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
Eb minor (6b), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
D# minor (6#), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
Eb minor mel (6b), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
D# minor mel (6#), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
Gb major blues (6b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
F# major blues (6#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Eb minor blues (6b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D# minor blues (6#), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
Gb dorian (6b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
F# dorian (6#), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
Gb phrygian (6b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
F# phrygian (6#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
Gb lydian (6b), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
F# lydian (6#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
Gb mixolydian (6b), 4, 6,  ,  , 2, 4,  ,  , 4, 6, 26
F# mixolydian (6#), 3, 4,  ,  , 2, 3,  ,  , 3, 4, 19
Gb aeolian (6b), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
F# aeolian (6#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
Gb locrian (6b), 4, 4,  ,  , 2, 2,  ,  , 4, 4, 20
F# locrian (6#), 3, 3,  ,  , 2, 2,  ,  , 3, 3, 16
Cb major (7b), 4, 6,  ,  , 2, 4,  ,  , 4, 6, 26
C# major (7#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
Ab minor (7b), 3, 5,  ,  , 2, 4,  ,  , 3, 5, 22
A# minor (7#), 5, 2,  ,  , 3, 0,  ,  , 5, 2, 17
Ab minor mel (7b), 2, 4,  ,  , 1, 3,  ,  , 2, 4, 16
A# minor mel (7#), 5, 2,  ,  , 3, 0,  ,  , 5, 2, 17
Cb major blues (7b), 5, 7,  ,  , 3, 5,  ,  , 5, 7, 32
C# major blues (7#), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
Ab minor blues (7b), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
A# minor blues (7#), 4, 6,  ,  , 2, 4,  ,  , 4, 6, 26
Cb dorian (7b), 3, 4,  ,  , 2, 3,  ,  , 3, 4, 19
C# dorian (7#), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
Cb phrygian (7b), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
C# phrygian (7#), 4, 4,  ,  , 2, 2,  ,  , 4, 4, 20
Cb lydian (7b), 3, 3,  ,  , 2, 2,  ,  , 3, 3, 16
C# lydian (7#), 4, 6,  ,  , 2, 4,  ,  , 4, 6, 26
Cb mixolydian (7b), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
C# mixolydian (7#), 3, 5,  ,  , 2, 4,  ,  , 3, 5, 22
Cb aeolian (7b), 5, 2,  ,  , 3, 0,  ,  , 5, 2, 17
C# aeolian (7#), 2, 4,  ,  , 1, 3,  ,  , 2, 4, 16
Cb locrian (7b), 5, 5,  ,  , 3, 3,  ,  , 5, 5, 26
C# locrian (7#), 5, 7,  ,  , 3, 5,  ,  , 5, 7, 32
